FID,Id,Non_res,Property_I,Counts,POINT_X,POINT_Y
280,281,21,281,5,470778.0494,622589.6963
281,282,16,282,10,466330.5508,625361.5661
282,283,14,283,12,465817.165,625383.0887
283,284,14,284,12,465558.9677,625513.5494
284,285,0,285,26,464826.3704,620302.2957
285,286,16,286,10,468509.5225,620593.1737
286,287,16,287,10,467663.1114,624571.5218
287,288,0,288,26,467512.2295,620825.8472
288,289,9,289,17,467600.4206,623768.4945
289,290,17,290,9,467508.7673,623893.9158
290,291,14,291,12,467332.202,623406.5044
291,292,0,292,26,467359.7534,622124.1805
292,293,17,293,9,467193.8453,623630.1184
293,294,0,294,26,466994.6676,618552.3839
294,295,0,295,26,466955.6102,622659.2467
295,296,11,296,15,466941.8898,621061.5642
296,297,6,297,20,466791.3077,621149.233
297,298,0,298,26,466780.397,625162.1777
298,299,0,299,26,466470.4777,620583.1616
299,300,21,300,5,472116.4844,623439.6477
300,301,21,301,5,471149.0093,622628.4108
301,302,21,302,5,471930.6721,622782.2543
302,303,21,303,5,471643.5999,622685.0659
303,304,21,304,5,470556.4452,622365.8454
304,305,21,305,5,471013.4161,622690.1817
305,306,21,306,5,470592.7818,622395.2298
306,307,21,307,5,470458.8535,622598.7084
307,308,16,308,10,468851.5946,621112.5136
308,309,18,309,8,469543.9794,621666.5909
309,310,12,310,14,469057.2481,621592.0077
310,311,6,311,20,467779.772,624457.0013
311,312,0,312,26,467442.3747,621314.7858
312,313,14,313,12,467212.489,623260.6054
313,314,7,314,19,467183.6196,622457.1329
314,315,19,315,7,467132.3983,622450.4837
315,316,19,316,7,467036.2334,622425.9158
316,317,9,317,17,466809.8884,621093.4122
317,318,0,318,26,466772.1729,621914.7718
318,319,0,319,26,466760.4928,622361.1292
319,320,0,320,26,467383.1756,622617.9246
320,321,0,321,26,467208.9221,620804.9752
321,322,11,322,15,466962.8468,621585.6314
322,323,0,323,26,466871.653,617992.4243
323,324,1,324,25,466894.8843,618106.9471
324,325,0,325,26,466758.0299,622044.39
325,326,0,326,26,465653.4796,625299.0659
326,327,14,327,12,465465.566,625339.9779
327,328,0,328,26,466346.7214,621021.6269
328,329,14,329,12,465190.9802,625699.0087
329,330,4,330,22,464902.0513,625374.2039
330,331,12,331,14,464294.0552,625795.4707
331,332,21,332,5,472049.0295,623593.9647
332,333,21,333,5,471659.8994,622834.3897
333,334,21,334,5,470823.298,622889.8168
334,335,21,335,5,470728.584,622984.1578
335,336,21,336,5,469943.7004,622512.9458
336,337,0,337,26,469590.0233,623193.6764
337,338,21,338,5,469273.9051,621928.8279
338,339,22,339,4,468340.114,620295.4138
339,340,22,340,4,468291.373,620332.4361
340,341,16,341,10,468166.9926,620468.071
341,342,22,342,4,467634.7916,619454.0763
342,343,17,343,9,467568.5683,624167.9704
343,344,0,344,26,467479.684,622899.4821
344,345,0,345,26,467345.0356,622053.6892
345,346,18,346,8,467327.0865,623459.4242
346,347,11,347,15,467028.6104,621162.0788
347,348,18,348,8,466980.3628,622596.6021
348,349,0,349,26,466864.8916,618591.2394
349,350,0,350,26,466555.8791,620581.1587
350,351,13,351,13,464761.0943,625804.3992
351,352,21,352,5,471430.2778,622868.536
352,353,21,353,5,471366.0614,622793.9656
353,354,21,354,5,471112.264,622476.5801
354,355,21,355,5,470273.619,622646.2221
355,356,21,356,5,470296.7236,622265.7413
356,357,0,357,26,470220.8662,623752.4545
357,358,0,358,26,469977.0852,623467.2822
358,359,21,359,5,469731.9154,622393.4789
359,360,21,360,5,469154.0176,621906.7761
360,361,16,361,10,468412.0174,620446.5307
361,362,0,362,26,468018.1153,624449.9157
362,363,21,363,5,471608.6265,622863.0996
363,364,0,364,26,468012.8066,624283.544
364,365,0,365,26,467820.0852,621211.1909
365,366,22,366,4,467783.2175,619814.1956
366,367,18,367,8,467509.7905,623472.4278
367,368,21,368,5,471348.6198,622472.7356
368,369,19,369,7,467318.2667,621829.8455
369,370,17,370,9,467277.3904,623968.1932
370,371,19,371,7,467179.7259,621908.5251
371,372,14,372,12,467161.0081,623112.0073
372,373,18,373,8,467140.2404,623385.738
373,374,19,374,7,467131.6256,621751.3853
374,375,0,375,26,467005.617,618794.6212
375,376,12,376,14,466893.8479,622052.7
376,377,21,377,5,470743.6046,622450.7875
377,378,21,378,5,470417.2815,622442.2462
378,379,0,379,26,466711.4181,621407.7321
379,380,0,380,26,466615.8288,617349.82
380,381,0,381,26,470030.4436,623527.0517
381,382,0,382,26,469640.7666,623251.9906
382,383,0,383,26,467943.0243,623958.0256
383,384,22,384,4,467741.1559,619722.1332
384,385,17,385,9,467658.4674,624376.5543
385,386,16,386,10,467351.3585,624307.084
386,387,20,387,6,467283.6732,622011.7569
387,388,14,388,12,466984.9606,623041.8306
388,389,0,389,26,465513.3231,625271.1299
389,390,11,390,15,464652.7421,625819.4563
390,391,8,391,18,464178.5669,625477.8539
391,392,21,392,5,472022.8544,623528.9615
392,393,21,393,5,472021.3002,623392.5638
393,394,21,394,5,471423.7253,623276.2697
394,395,21,395,5,471382.437,622721.1314
395,396,21,396,5,470966.2147,622948.4538
396,397,21,397,5,470923.0167,622528.6439
397,398,21,398,5,469788.576,621845.354
398,399,16,399,10,468742.4853,620996.5506
399,400,17,400,9,467996.7479,620664.4731
400,401,20,401,6,467263.8042,622054.8818
401,402,16,402,10,467187.8539,621416.0865
402,403,20,403,6,467229.3918,622157.814
403,404,0,404,26,467153.9195,620835.2871
404,405,22,405,4,467199.7905,620984.9994
405,406,14,406,12,467114.1545,623219.1409
406,407,21,407,5,467073.7763,621437.6136
407,408,20,408,6,467123.2162,622089.4496
408,409,18,409,8,467119.1381,621257.0067
409,410,18,410,8,467031.9647,621940.7458
410,411,12,411,14,466999.6357,622223.3408
411,412,9,412,17,466832.4264,617446.8611
412,413,0,413,26,466564.1202,625301.0816
413,414,0,414,26,466579.5378,621075.2971
414,415,0,415,26,466545.1078,625202.4854
415,416,0,416,26,465546.5061,620960.2583
416,417,14,417,12,465255.9115,625616.4268
417,418,0,418,26,463682.5781,618531.5975
418,419,21,419,5,471756.5996,623497.5551
419,420,21,420,5,471706.5951,622844.1863
420,421,21,421,5,471013.6316,622565.3447
421,422,21,422,5,470825.9322,622360.2722
422,423,21,423,5,470243.8999,622112.629
423,424,21,424,5,470074.1069,622434.6891
424,425,22,425,4,468824.6879,620931.9175
425,426,22,426,4,467762.4137,619995.6293
426,427,22,427,4,467744.3508,619592.8693
427,428,0,428,26,467419.3905,622975.6349
428,429,16,429,10,467366.3338,624372.3555
429,430,0,430,26,467390.697,622970.3383
430,431,20,431,6,467290.4672,621523.3333
431,432,14,432,12,467198.885,623400.3167
432,433,0,433,26,467183.5284,620683.4327
433,434,0,434,26,467113.4127,624055.5028
434,435,0,435,26,467112.8901,622537.8126
435,436,11,436,15,467022.1019,621219.0084
436,437,2,437,24,466967.1971,618232.0134
437,438,1,438,25,466894.4811,622391.2919
438,439,0,439,26,466936.8649,623350.1279
439,440,16,440,10,465753.3721,625607.5495
440,441,21,441,5,472136.8052,623578.3266
441,442,21,442,5,471819.0204,622673.3526
442,443,21,443,5,469577.5118,622186.8152
443,444,0,444,26,469278.6778,622621.6789
444,445,16,445,10,468901.8645,621389.3021
445,446,16,446,10,468535.2039,620752.4753
446,447,22,447,4,468375.9217,620377.2181
447,448,16,448,10,468088.254,620587.0123
448,449,8,449,18,467414.7779,621458.5746
449,450,18,450,8,467311.3077,622858.809
450,451,0,451,26,467189.6081,622742.4929
451,452,22,452,4,467171.282,621530.953
452,453,19,453,7,467087.9216,622058.0829
453,454,11,454,15,467066.0277,621062.409
454,455,14,455,12,467002.0744,623199.7302
455,456,0,456,26,466887.0096,623319.3353
456,457,0,457,26,466668.6554,617371.8954
457,458,0,458,26,466041.7384,625232.3495
458,459,0,459,26,465013.4304,620434.5651
459,460,21,460,5,471967.3679,623239.9588
460,461,21,461,5,470735.4718,622851.0258
461,462,21,462,5,470131.8982,622058.5678
462,463,22,463,4,468056.8853,619958.4152
463,464,0,464,26,467846.0008,623699.3335
464,465,17,465,9,467543.2134,624553.4736
465,466,8,466,18,467437.1581,621629.9581
466,467,9,467,17,467407.6805,621842.7949
467,468,0,468,26,467448.0259,622987.0814
468,469,0,469,26,467157.2187,624366.0104
469,470,12,470,14,467010.1784,622023.994
470,471,11,471,15,464878.0058,625968.246
471,472,13,472,13,464809.7608,625822.1055
472,473,13,473,13,464762.1333,625678.5497
473,474,21,474,5,471337.5559,622697.8726
474,475,21,475,5,470990.0628,622825.8724
475,476,21,476,5,469786.3323,622584.6707
476,477,18,477,8,468976.931,621553.0409
477,478,0,478,26,468027.4224,624768.7812
478,479,18,479,8,468010.2558,620483.7068
479,480,22,480,4,467840.7171,620101.0943
480,481,0,481,26,467661.0881,621484.2576
481,482,18,482,8,467629.4609,623362.0918
482,483,22,483,4,467466.1935,624642.4068
483,484,22,484,4,467464.7555,619454.6425
484,485,15,485,11,467043.383,621624.7813
485,486,21,486,5,467059.361,621473.1461
486,487,19,487,7,466930.2359,621928.7439
487,488,10,488,16,466826.9238,621028.9324
488,489,0,489,26,466770.796,620542.2391
489,490,21,490,5,471712.021,623244.507
490,491,21,491,5,471340.2586,623102.9597
491,492,21,492,5,471039.1112,622436.8659
492,493,21,493,5,470784.9759,622734.594
493,494,21,494,5,470678.7074,622966.5492
494,495,21,495,5,470033.5529,622283.2609
495,496,0,496,26,469700.2714,623104.7429
496,497,17,497,9,467959.9957,624181.43
497,498,0,498,26,467761.6135,620827.4354
498,499,0,499,26,467736.0401,621128.0936
499,500,0,500,26,467702.5598,621387.4461
500,501,0,501,26,467422.4745,621486.8022
501,502,9,502,17,467152.8674,618178.17
502,503,11,503,15,467086.442,621153.567
503,504,8,504,18,466921.1054,621751.783
504,505,0,505,26,466813.3182,617354.8065
505,506,12,506,14,464344.8382,625796.8539
506,507,21,507,5,471943.7118,623086.1733
507,508,21,508,5,471479.1543,622767.1179
508,509,21,509,5,471250.7841,622659.4035
509,510,21,510,5,470677.0644,622693.3083
510,511,21,511,5,470425.207,622713.2614
511,512,0,512,26,469649.3722,623043.8129
512,513,21,513,5,469651.1573,621704.5016
513,514,0,514,26,468889.4499,622052.1337
514,515,16,515,10,468356.8003,620515.852
515,516,0,516,26,468007.6711,624405.696
516,517,0,517,26,467445.5125,622758.4771
517,518,17,518,9,467403.112,623959.689
518,519,19,519,7,467436.1536,624612.4501
519,520,1,520,25,466868.3958,622112.6612
520,521,4,521,22,466556.3751,620954.8479
521,522,0,522,26,465573.801,620878.56
522,523,13,523,13,465133.9452,625822.3637
523,524,14,524,12,465024.6029,625508.307
524,525,12,525,14,464494.7989,625595.4167
525,526,12,526,14,464337.6033,625665.5373
526,527,21,527,5,472190.1204,623600.9679
527,528,21,528,5,471206.1677,622768.6553
528,529,21,529,5,471152.8505,622490.9344
529,530,21,530,5,470830.9014,622754.0582
530,531,21,531,5,470595.4793,622930.7448
531,532,21,532,5,470544.104,622919.2577
532,533,21,533,5,470309.8289,622810.6017
533,534,21,534,5,470098.6486,622718.3339
534,535,9,535,17,467636.8667,623863.6075
535,536,0,536,26,467559.4594,620473.3554
536,537,22,537,4,467530.3168,619702.5515
537,538,0,538,26,467323.0901,620995.8435
538,539,0,539,26,467231.0493,621091.8686
539,540,21,540,5,467201.6048,621032.6709
540,541,0,541,26,467095.2402,620442.6944
541,542,14,542,12,467033.9057,623144.0075
542,543,0,543,26,466872.1114,620045.1788
543,544,21,544,5,472020.0086,623278.5184
544,545,21,545,5,471842.5995,623184.1538
545,546,21,546,5,471801.9306,622757.9325
546,547,3,547,23,464483.6578,625357.9473
547,548,21,548,5,470695.8104,622782.0289
548,549,21,549,5,469813.0254,622718.0865
549,550,21,550,5,469785.9743,622397.617
550,551,0,551,26,469748.6499,623165.1312
551,552,0,552,26,469215.4833,622452.4177
552,553,4,553,22,469190.6402,621543.5504
553,554,0,554,26,468139.9763,625200.322
554,555,0,555,26,467888.234,623889.0353
555,556,17,556,9,467554.9046,624088.3242
556,557,0,557,26,467431.0673,622291.4971
557,558,0,558,26,467363.7951,621127.2029
558,559,6,559,20,467262.2651,622345.2949
559,560,0,560,26,467071.8862,622755.4916
560,561,17,561,9,467048.2495,621536.1692
561,562,12,562,14,466970.7319,622175.7592
562,563,0,563,26,466139.6329,625189.9122
563,564,16,564,10,465545.7272,625644.0819
564,565,11,565,15,464017.684,626159.1997
565,566,21,566,5,471976.8207,623375.0747
566,567,21,567,5,471471.6963,623030.3188
567,568,21,568,5,471427.4153,623006.5971
568,569,21,569,5,470440.0695,622321.542
569,570,7,570,19,469224.9433,621819.8278
570,571,16,571,10,468316.1114,620476.4512
571,572,19,572,7,467930.5079,620220.226
572,573,0,573,26,467786.8189,620781.3656
573,574,0,574,26,467565.2832,621234.7423
574,575,9,575,17,466907.6743,621546.8976
575,576,0,576,26,466357.0694,621083.5441
576,577,0,577,26,464779.6707,625500.094
577,578,12,578,14,464398.9913,625796.3202
578,579,0,579,26,463210.722,618385.7077
579,580,21,580,5,472068.8375,623414.1605
580,581,21,581,5,471845.0033,622613.71
581,582,21,582,5,471437.12,622743.5956
582,583,21,583,5,471151.9453,622894.3801
583,584,21,584,5,470879.0453,622773.609
584,585,21,585,5,470175.6884,622084.2101
585,586,0,586,26,469886.1067,623356.013
586,587,16,587,10,468625.6673,620853.0394
587,588,16,588,10,468485.5671,620540.1318
588,589,16,589,10,468171.1117,620669.2579
589,590,0,590,26,468022.2242,623085.1756
590,591,3,591,23,467924.7507,620581.7837
591,592,0,592,26,467915.0056,620845.3527
592,593,17,593,9,467716.9808,624215.0956
593,594,17,594,9,467313.1627,624116.0397
594,595,0,595,26,467345.6682,618464.7275
595,596,14,596,12,467172.6462,623195.3605
596,597,0,597,26,466872.7387,618441.4618
597,598,9,598,17,466856.9693,621677.1709
598,599,10,599,16,466653.8595,621024.8628
599,600,21,600,5,471629.1573,622461.5706
600,601,21,601,5,471437.3893,622614.0145
601,602,21,602,5,471423.0518,623054.7298
602,603,21,603,5,471517.1011,623051.4408
603,604,21,604,5,470352.9063,623111.7576
604,605,21,605,5,470238.602,622782.2301
605,606,21,606,5,470306.9103,622392.051
606,607,21,607,5,470040.7622,622035.6266
607,608,0,608,26,469933.4009,623414.1947
608,609,0,609,26,469168.8013,621766.3282
609,610,0,610,26,469677.4611,623306.0089
610,611,18,611,8,469510.6061,621836.2316
611,612,16,612,10,468802.9008,621057.8405
612,613,22,613,4,468611.6761,620657.8039
613,614,22,614,4,467972.9058,619859.1339
614,615,0,615,26,467767.9432,623879.4401
615,616,0,616,26,467765.8872,620321.4791
616,617,17,617,9,467430.088,624076.4919
617,618,20,618,6,467289.396,621572.2951
618,619,17,619,9,467201.7298,624219.8594
619,620,19,620,7,467160.7073,622335.4855
620,621,0,621,26,467492.7059,622768.0178
621,622,0,622,26,467458.5338,620973.1733
622,623,18,623,8,467439.8104,623446.4466
623,624,0,624,26,467013.0737,618476.5943
624,625,0,625,26,466981.4576,620204.3746
625,626,3,626,23,466839.3952,621791.5394
626,627,0,627,26,467152.1056,619663.2222
627,628,20,628,6,467140.0347,622032.5163
628,629,10,629,16,466891.738,621073.0376
629,630,0,630,26,466293.0555,625212.594
630,631,0,631,26,466281.8009,621118.3033
631,632,0,632,26,465185.9812,619763.1816
632,633,11,633,15,464608.4771,625966.0423
633,634,12,634,14,464207.8848,625653.4517
634,635,0,635,26,463334.0046,618453.6508
635,636,21,636,5,471793.6048,623436.5624
636,637,21,637,5,471610.8549,623209.2919
637,638,21,638,5,471616.5822,622814.9948
638,639,21,639,5,470407.3461,622587.8079
639,640,0,640,26,470077.8297,623588.5408
640,641,16,641,10,468472.7473,620671.5289
641,642,22,642,4,467690.0927,619519.5824
642,643,0,643,26,467294.2864,620918.5793
643,644,6,644,20,467145.8923,623965.2881
644,645,0,645,26,467013.0058,618640.4509
645,646,4,646,22,466668.4635,621129.0103
646,647,21,647,5,471921.7506,623346.9576
647,648,21,648,5,471749.5071,623275.4295
648,649,21,649,5,471231.5561,622722.0054
649,650,21,650,5,471195.4407,623043.1268
650,651,21,651,5,469854.8029,622395.7269
651,652,22,652,4,468720.0014,620784.1068
