FID,Shape,FacilityID,FacilityRa,Name,IncidentCu,FacilityCu,IncidentID,StartTime,EndTime,StartTimeU,EndTimeUTC,Total_Minu,Total_Trav,Total_Mile,Total_Kilo,Total_Time,Total_Walk,Total_Truc,Total_Tr_1,Shape_Leng
125,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,270,16,Location 270 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.477761762405,0.0,5.73304685993,0.0,0.0,0.00502399172132
126,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,233,17,Location 233 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.49120542637,0.0,5.89458771865,0.0,0.0,0.00482086144386
127,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,296,18,Location 296 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.49120542637,0.0,5.89458771865,0.0,0.0,0.00482086144386
128,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,269,19,Location 269 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.506615551889,0.0,6.07938012848,0.0,0.0,0.0052574869702
129,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,204,20,Location 204- Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.535286395509,0.0,6.42336960744,0.0,0.0,0.00524608902058
130,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,292,21,Location 292 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.548542277457,0.0,6.58255664459,0.0,0.0,0.0056462660848
131,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,234,22,Location 234 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.548832251723,0.0,6.58590440573,0.0,0.0,0.00540058755714
132,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,251,23,Location 251 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,0.580638207107,0.0,6.96778055559,0.0,0.0,0.00595059671617
133,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,250,24,Location 250 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.616239508126,0.0,7.39480695884,0.0,0.0,0.00616921706586
134,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,245,25,Location 245 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,0.685266885656,0.0,8.22329013133,0.0,0.0,0.00696459402156
135,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,285,26,Location 285 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.08320968039,0.0,12.9981454945,0.0,0.0,0.0115680716966
136,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,261,27,Location 261 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,1.2328802659,0.0,14.794547932,0.0,0.0,0.0131770127424
137,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,229,28,Location 229 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,1.2537408075,0.0,15.0449664739,0.0,0.0,0.0132695633591
138,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,262,29,Location 262 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,1.33231208086,0.0,15.9878543141,0.0,0.0,0.0141877529269
139,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,240,30,Location 240 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,1.4353005143,0.0,17.2233609112,0.0,0.0,0.0158044434256
140,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,228,31,Location 228 - Thomas J Kavanaugh VFW Post,1,2,1,,,,,0.0,0.0,0.0,1.45997288393,0.0,17.5193898973,0.0,0.0,0.016045905298
141,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,268,32,Location 268 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.63198306013,0.0,19.5839993769,0.0,0.0,0.0178284259982
142,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,237,33,Location 237 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.71712380911,0.0,20.6059795274,0.0,0.0,0.0170760315564
143,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,206,34,Location 206- Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.79017910132,0.0,21.4824509659,0.0,0.0,0.0179589405789
144,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,254,35,Location 254 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.79335662018,0.0,21.5205875315,0.0,0.0,0.0179876005706
145,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,249,36,Location 249 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.82914702622,0.0,21.9503075275,0.0,0.0,0.018881040022
146,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,283,37,Location 283 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.8432916091,0.0,22.1201981618,0.0,0.0,0.0189995052284
147,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,236,38,Location 236 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.86452732902,0.0,22.3750379701,0.0,0.0,0.0192464380228
148,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,252,39,Location 252 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.86914697183,0.0,22.4305201767,0.0,0.0,0.0192368442986
149,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,287,40,Location 287 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.88337469427,0.0,22.6006285979,0.0,0.0,0.0201713641482
150,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,221,41,Location 221 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.88851811382,0.0,22.6629400061,0.0,0.0,0.019525406977
151,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,235,42,Location 235 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.89432912176,0.0,22.7322090148,0.0,0.0,0.0196321824731
152,<geoprocessing describe geometry object object at 0x0000017C32EFF7E0>,205,43,Location 205- Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.89432912176,0.0,22.7322090148,0.0,0.0,0.0196321824731
153,<geoprocessing describe geometry object object at 0x0000017C3FA4A120>,279,44,Location 279 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.89432912176,0.0,22.7322090148,0.0,0.0,0.0196321824731
154,<geoprocessing describe geometry object object at 0x0000017C3FA4A8D0>,282,45,Location 282 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.89432912176,0.0,22.7322090148,0.0,0.0,0.0196321824731
155,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,253,46,Location 253 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.90131315451,0.0,22.8164872243,0.0,0.0,0.0196741903401
156,<geoprocessing describe geometry object object at 0x0000017C3FA4A0F0>,284,47,Location 284 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.90131315451,0.0,22.8164872243,0.0,0.0,0.0196741903401
157,<geoprocessing describe geometry object object at 0x0000017C3FA4A8D0>,203,48,Location 203- Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,1.91045585141,0.0,22.9260315308,0.0,0.0,0.0199529975221
158,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,298,49,Location 298 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,1.91045585141,0.0,22.9260315308,0.0,0.0,0.0199529975221
159,<geoprocessing describe geometry object object at 0x0000017C3FA4A0F0>,208,50,Location 208- Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,5.22759947043,0.0,62.7305008961,0.0,0.0,0.0550858254965
160,<geoprocessing describe geometry object object at 0x0000017C3FA4A8D0>,263,51,Location 263 - Thomas J Kavanaugh VFW Post,2,2,1,,,,,0.0,0.0,0.0,5.29062527048,0.0,63.4866395983,0.0,0.0,0.056239617711
161,<geoprocessing describe geometry object object at 0x0000017C3FA4A300>,248,52,Location 248 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,5.84687533357,0.0,70.1613228347,0.0,0.0,0.0618601342959
162,<geoprocessing describe geometry object object at 0x0000017C3FA4A0F0>,299,53,Location 299 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,6.01735958217,0.0,72.2070334704,0.0,0.0,0.0638858878268
163,<geoprocessing describe geometry object object at 0x0000017C3FA4A8D0>,319,1,Location 319 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.13054511005,0.0,1.56656346607,0.0,0.0,0.00137377325504
164,<geoprocessing describe geometry object object at 0x0000017C3FA4A0F0>,325,2,Location 325 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.166565994385,0.0,1.99863565019,0.0,0.0,0.00160590582406
165,<geoprocessing describe geometry object object at 0x0000017C3FA4A8D0>,376,3,Location 376 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.18462541504,0.0,2.21531121691,0.0,0.0,0.00177369166943
166,<geoprocessing describe geometry object object at 0x0000017C3FA4A0F0>,318,4,Location 318 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.204014348154,0.0,2.44793817383,0.0,0.0,0.00195382932776
167,<geoprocessing describe geometry object object at 0x0000017C3FA4A8D0>,388,5,Location 388 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.25385363849,0.0,3.0461882456,0.0,0.0,0.00277320824859
168,<geoprocessing describe geometry object object at 0x0000017C3FA4A0F0>,316,6,Location 316 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.290573607769,0.0,3.48674021535,0.0,0.0,0.00291028284488
169,<geoprocessing describe geometry object object at 0x0000017C3FA4A8D0>,372,7,Location 372 - Thomas J Kavanaugh VFW Post,1,1,1,,,,,0.0,0.0,0.0,0.307493702898,0.0,3.68983334763,0.0,0.0,0.00339065482399
170,<geoprocessing describe geometry object object at 0x0000017C3FA4A0F0>,379,8,Location 379 - Thomas J Kavanaugh VFW Post,2,1,1,,,,,0.0,0.0,0.0,0.372338233589,0.0,4.46819330348,0.0,0.0,0.00355245769862
