OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
125,4,1,Thomas J Kavanaugh VFW Post - Location 202,1,1,202,,,,,,,,0.471527152777566,,5.658437177413012,,,0.004638504045823
126,2,1,  - Location 203,2,2,203,,,,,,,,0.605735769982854,,7.268932363077486,,,0.006015671183002
127,4,1,Thomas J Kavanaugh VFW Post - Location 204,2,1,204,,,,,,,,0.535286395509212,,6.423369607438665,,,0.005246089020576
128,2,1,  - Location 205,2,2,205,,,,,,,,0.659022796525788,,7.908478397131639,,,0.006432928674711
129,2,1,  - Location 206,2,2,206,,,,,,,,0.729470670205304,,8.753654938626763,,,0.007450676225325
130,2,1,  - Location 207,1,2,207,,,,,,,,0.994979806370998,,11.940038623126727,,,0.010302192462509
131,3,1,  - Location 208,2,1,208,,,,,,,,1.263361493469235,,15.160568875727286,,,0.012845782703803
132,3,1,  - Location 214,1,1,214,,,,,,,,2.270075444870621,,27.241035111203267,,,0.023238924458406
133,3,1,  - Location 215,1,1,215,,,,,,,,1.434756952773412,,17.217501377614003,,,0.014609079194655
134,3,1,  - Location 216,1,1,216,,,,,,,,1.366810111461942,,16.402174868718379,,,0.013870592375515
135,4,1,Thomas J Kavanaugh VFW Post - Location 217,2,2,217,,,,,,,,0.281766942955601,,3.381275953889460,,,0.003011079845822
136,4,1,Thomas J Kavanaugh VFW Post - Location 218,1,2,218,,,,,,,,0.180494750928917,,2.165979735756383,,,0.001903779609731
137,4,1,Thomas J Kavanaugh VFW Post - Location 219,2,2,219,,,,,,,,0.203517346565682,,2.442234136771041,,,0.002112266499973
138,4,1,Thomas J Kavanaugh VFW Post - Location 220,1,1,220,,,,,,,,0.383933584488468,,4.607338952683778,,,0.003660231013777
139,2,1,  - Location 221,1,2,221,,,,,,,,0.771863076895079,,9.262339027186020,,,0.007949958372100
140,2,1,  - Location 226,2,2,226,,,,,,,,1.015596178908625,,12.187387433959943,,,0.010545503011935
141,2,1,  - Location 228,1,2,228,,,,,,,,2.359010907021230,,28.307810225599106,,,0.024820777486140
142,3,1,  - Location 231,2,1,231,,,,,,,,1.447635488022423,,17.372094847474916,,,0.014964691034895
143,4,1,Thomas J Kavanaugh VFW Post - Location 233,2,1,233,,,,,,,,0.637556313045567,,7.650525120307773,,,0.006412526631443
144,4,1,Thomas J Kavanaugh VFW Post - Location 234,2,1,234,,,,,,,,0.557134489688902,,6.685524131657250,,,0.005495278496828
145,2,1,  - Location 235,2,2,235,,,,,,,,0.532057565764888,,6.384817932012890,,,0.005143533474660
146,2,1,  - Location 236,2,2,236,,,,,,,,0.794620807189636,,9.535423198845184,,,0.008217777460019
147,2,1,  - Location 237,2,2,237,,,,,,,,1.006753720732305,,12.081337074431044,,,0.010441172163274
148,2,1,  - Location 240,1,2,240,,,,,,,,2.334338537392274,,28.011781239543382,,,0.024579315613824
149,2,1,  - Location 243,1,2,243,,,,,,,,1.390372317599587,,16.684280972963116,,,0.014645083316012
150,2,1,  - Location 244,2,2,244,,,,,,,,0.831988652129841,,9.983820472835118,,,0.008863916208855
151,3,1,  - Location 245,1,1,245,,,,,,,,1.799679054552784,,21.596589741560074,,,0.018118194051842
152,3,1,  - Location 246,1,1,246,,,,,,,,1.653698981349512,,19.844634808046862,,,0.016568853507731
153,4,1,Thomas J Kavanaugh VFW Post - Location 247,2,2,247,,,,,,,,0.197655746254563,,2.371760435194574,,,0.002057424455608
154,3,1,  - Location 248,2,1,248,,,,,,,,0.989101742590657,,11.869759954915352,,,0.010131388871664
155,2,1,  - Location 249,1,2,249,,,,,,,,0.459383553752071,,5.512696380682164,,,0.004293765414548
156,3,1,  - Location 250,1,2,250,,,,,,,,0.560568659265224,,6.727078186578414,,,0.005838701244057
157,3,1,  - Location 251,1,2,251,,,,,,,,0.499543576214256,,5.994777189966801,,,0.005144837947111
158,2,1,  - Location 252,1,2,252,,,,,,,,0.792531495007416,,9.510352241450308,,,0.008193177698216
159,2,1,  - Location 253,1,2,253,,,,,,,,0.757061594847287,,9.084726830713342,,,0.007774740587443
160,3,1,  - Location 262,1,1,262,,,,,,,,2.225246769130495,,26.703484632858093,,,0.022897046709477
161,3,1,  - Location 263,1,1,263,,,,,,,,1.632280237855800,,19.587606015397309,,,0.016781649066096
162,3,1,  - Location 264,1,1,264,,,,,,,,2.272865147348252,,27.274548398453490,,,0.023268787443062
163,3,1,  - Location 266,2,1,266,,,,,,,,1.370722450807239,,16.449122388174064,,,0.013913113444198
164,3,1,  - Location 267,2,1,267,,,,,,,,1.279157373748097,,15.350359070647309,,,0.013015300447292
165,2,1,  - Location 268,1,2,268,,,,,,,,0.469179739472895,,5.630127537147858,,,0.005315764780763
166,2,1,  - Location 269,1,2,269,,,,,,,,1.776621439968906,,21.319460613047049,,,0.018348671536775
167,4,1,Thomas J Kavanaugh VFW Post - Location 270,2,2,270,,,,,,,,0.262291225644596,,3.147613100484972,,,0.002831886920983
168,4,1,Thomas J Kavanaugh VFW Post - Location 272,2,2,272,,,,,,,,0.301078724574637,,3.612893103826590,,,0.003281402011431
169,4,1,Thomas J Kavanaugh VFW Post - Location 273,2,1,273,,,,,,,,0.444668115585150,,5.336113364789542,,,0.004389603658105
170,4,1,Thomas J Kavanaugh VFW Post - Location 274,2,1,274,,,,,,,,0.466474672391929,,5.597804522212565,,,0.004591682867666
171,3,1,  - Location 275,2,1,275,,,,,,,,1.588136023306444,,19.058024528364761,,,0.016056203485548
172,4,1,Thomas J Kavanaugh VFW Post - Location 276,2,2,276,,,,,,,,0.188213503838269,,2.258624837267297,,,0.002044893629345
173,4,1,Thomas J Kavanaugh VFW Post - Location 277,1,2,277,,,,,,,,0.208059588980534,,2.496757792375782,,,0.002160332079338
174,4,1,Thomas J Kavanaugh VFW Post - Location 278,1,2,278,,,,,,,,0.205849895682341,,2.470241472797471,,,0.002139766168898
175,2,1,  - Location 279,2,2,279,,,,,,,,0.632061839003880,,7.584911835704483,,,0.006122952814380
176,2,1,  - Location 282,2,2,282,,,,,,,,0.722698298476479,,8.672351221549601,,,0.007082617951346
177,2,1,  - Location 283,1,2,283,,,,,,,,0.603004088842895,,7.236047773688873,,,0.005982553454209
178,2,1,  - Location 284,2,2,284,,,,,,,,0.757984503397440,,9.095801384883451,,,0.007785545572199
179,3,1,  - Location 285,2,1,285,,,,,,,,0.566325066466926,,6.795986911592092,,,0.005709464165765
180,2,1,  - Location 287,2,2,287,,,,,,,,1.666823753522459,,20.001738036779408,,,0.017294934451328
181,3,1,  - Location 288,2,1,288,,,,,,,,1.324530164123532,,15.894895047602285,,,0.013561230376312
182,2,1,  - Location 289,2,2,289,,,,,,,,1.159033412508766,,13.908284095633819,,,0.012032400613091
183,2,1,  - Location 290,2,2,290,,,,,,,,0.929422146610977,,11.152979835994003,,,0.009758748295259
184,2,1,  - Location 291,2,2,291,,,,,,,,0.710237838547581,,8.522763182170626,,,0.007682851293730
185,2,1,  - Location 292,2,2,292,,,,,,,,1.812880270346614,,21.754481032059459,,,0.018561534953083
186,2,1,  - Location 293,1,2,293,,,,,,,,0.666304970440253,,7.995674376728147,,,0.007153623110696
187,3,1,  - Location 294,2,1,294,,,,,,,,1.532012002556338,,18.384427967180695,,,0.015500769012410
188,4,1,Thomas J Kavanaugh VFW Post - Location 295,1,2,295,,,,,,,,0.291428188228438,,3.497056722742034,,,0.003098353437055
